srcip,sport,dstip,dsport,sttl,dttl,tcprtt,synack,ct_state_ttl,Label
59.166.0.1,29637,149.171.126.4,80,31,29,0.000655,0.000512,0,0
59.166.0.8,33244,149.171.126.3,80,31,29,0.000692,0.000549,0,0
59.166.0.8,60002,149.171.126.1,80,31,29,0.000618,0.000492,0,0
59.166.0.4,4212,149.171.126.3,80,31,29,0.000622,0.000485,0,0
59.166.0.4,36082,149.171.126.3,80,31,29,0.00066,0.000525,0,0
59.166.0.4,5076,149.171.126.7,80,31,29,0.000639,0.000485,0,0
59.166.0.1,32636,149.171.126.1,80,31,29,0.000674,0.000539,0,0
59.166.0.7,21757,149.171.126.3,80,31,29,0.000674,0.000539,0,0
59.166.0.4,57239,149.171.126.4,80,31,29,0.000716,0.00056,0,0
59.166.0.4,8559,149.171.126.0,80,31,29,0.000721,0.000559,0,0
59.166.0.2,6441,149.171.126.0,80,31,29,0.000643,0.000511,0,0
59.166.0.1,27995,149.171.126.6,80,31,29,0.000652,0.00051,0,0
59.166.0.2,4086,149.171.126.9,80,31,29,0.000701,0.000561,0,0
59.166.0.4,14194,149.171.126.8,80,31,29,0.000715,0.000556,0,0
59.166.0.0,38888,149.171.126.6,80,31,29,0.00069,0.000552,0,0
59.166.0.6,21935,149.171.126.7,80,31,29,0.000712,0.000569,0,0
59.166.0.3,47699,149.171.126.4,80,31,29,0.000586,0.000447,0,0
59.166.0.0,13748,149.171.126.3,80,31,29,0.00068,0.000549,0,0
59.166.0.5,9748,149.171.126.7,80,31,29,0.000932,0.000757,0,0
59.166.0.2,40155,149.171.126.2,80,31,29,0.000731,0.000589,0,0
59.166.0.0,2231,149.171.126.4,80,31,29,0.000699,0.000545,0,0
59.166.0.9,57072,149.171.126.1,80,31,29,0.000739,0.000544,0,0
59.166.0.1,49993,149.171.126.5,80,31,29,0.000611,0.000463,0,0
59.166.0.1,59203,149.171.126.7,80,31,29,0.000712,0.000601,0,0
59.166.0.3,39080,149.171.126.2,80,31,29,0.000682,0.000537,0,0
59.166.0.5,32676,149.171.126.0,80,31,29,0.000617,0.000481,0,0
59.166.0.4,42582,149.171.126.2,80,31,29,0.00068,0.000549,0,0
59.166.0.2,47546,149.171.126.2,80,31,29,0.000728,0.000594,0,0
59.166.0.0,20898,149.171.126.8,80,31,29,0.000672,0.000538,0,0
59.166.0.4,31170,149.171.126.9,80,31,29,0.000558,0.000457,0,0
59.166.0.7,40713,149.171.126.7,80,31,29,0.000693,0.000557,0,0
59.166.0.7,51048,149.171.126.7,80,31,29,0.000709,0.000539,0,0
59.166.0.6,63392,149.171.126.3,80,31,29,0.000703,0.000551,0,0
59.166.0.6,61974,149.171.126.2,80,31,29,0.000718,0.000555,0,0
59.166.0.1,27289,149.171.126.4,80,31,29,0.000712,0.000553,0,0
59.166.0.1,5722,149.171.126.4,80,31,29,0.000677,0.000539,0,0
59.166.0.1,64257,149.171.126.4,80,31,29,0.000709,0.000548,0,0
59.166.0.9,61581,149.171.126.3,80,31,29,0.000739,0.000581,0,0
59.166.0.2,59076,149.171.126.3,80,31,29,0.000653,0.00052,0,0
59.166.0.0,32871,149.171.126.7,80,31,29,0.000671,0.000536,0,0
59.166.0.8,44629,149.171.126.9,80,31,29,0.000744,0.00058,0,0
59.166.0.7,50846,149.171.126.5,80,31,29,0.001633,0.000518,0,0
59.166.0.1,17858,149.171.126.6,80,31,29,0.000691,0.000556,0,0
59.166.0.1,1468,149.171.126.1,80,31,29,0.000652,0.000523,0,0
59.166.0.6,3228,149.171.126.6,80,31,29,0.00059,0.000462,0,0
59.166.0.8,27022,149.171.126.5,80,31,29,0.00073,0.000576,0,0
59.166.0.8,1048,149.171.126.1,80,31,29,0.000625,0.000491,0,0
59.166.0.0,25410,149.171.126.3,80,31,29,0.000605,0.000485,0,0
59.166.0.8,14733,149.171.126.0,80,31,29,0.000741,0.000563,0,0
59.166.0.7,44445,149.171.126.7,80,31,29,0.000716,0.000545,0,0
59.166.0.4,11809,149.171.126.8,80,31,29,0.000646,0.000509,0,0
59.166.0.7,17199,149.171.126.2,80,31,29,0.000597,0.000464,0,0
59.166.0.2,50741,149.171.126.7,80,31,29,0.001272,0.001139,0,0
59.166.0.1,3059,149.171.126.4,80,31,29,0.000608,0.000478,0,0
59.166.0.6,8059,149.171.126.6,80,31,29,0.00069,0.000544,0,0
59.166.0.9,7457,149.171.126.0,80,31,29,0.000669,0.000531,0,0
59.166.0.6,21529,149.171.126.8,80,31,29,0.00067,0.000525,0,0
59.166.0.8,24002,149.171.126.0,80,31,29,0.000668,0.000536,0,0
59.166.0.2,28977,149.171.126.6,80,31,29,0.002256,0.002015,0,0
59.166.0.0,20846,149.171.126.8,80,31,29,0.000656,0.000524,0,0
59.166.0.2,50095,149.171.126.2,80,31,29,0.000643,0.00051,0,0
59.166.0.5,48678,149.171.126.5,80,31,29,0.000662,0.000521,0,0
59.166.0.0,64778,149.171.126.6,80,31,29,0.000717,0.00056,0,0
59.166.0.2,22432,149.171.126.9,80,31,29,0.000651,0.000529,0,0
59.166.0.3,63212,149.171.126.7,80,31,29,0.000679,0.000542,0,0
175.45.176.0,57366,149.171.126.13,80,62,252,0.124559,0.063117,1,1
59.166.0.1,40744,149.171.126.7,80,31,29,0.000639,0.000507,0,0
59.166.0.7,64398,149.171.126.4,80,31,29,0.000621,0.00048,0,0
59.166.0.1,27334,149.171.126.7,80,31,29,0.000623,0.000486,0,0
175.45.176.2,22794,149.171.126.16,80,254,252,0.064706,0.012189,1,1
59.166.0.3,22565,149.171.126.2,80,31,29,0.000654,0.000513,0,0
59.166.0.2,17016,149.171.126.1,80,31,29,0.000677,0.000543,0,0
59.166.0.8,19929,149.171.126.5,80,31,29,0.000614,0.000492,0,0
59.166.0.7,34342,149.171.126.2,80,31,29,0.000642,0.000509,0,0
59.166.0.3,55877,149.171.126.1,80,31,29,0.000636,0.000502,0,0
59.166.0.7,2283,149.171.126.8,80,31,29,0.000683,0.000533,0,0
59.166.0.4,44337,149.171.126.5,80,31,29,0.000707,0.000551,0,0
59.166.0.4,10248,149.171.126.9,80,31,29,0.000846,0.000738,0,0
59.166.0.0,64182,149.171.126.1,80,31,29,0.000711,0.000552,0,0
59.166.0.6,34836,149.171.126.9,80,31,29,0.00064,0.000517,0,0
59.166.0.1,4705,149.171.126.9,80,31,29,0.000618,0.000482,0,0
59.166.0.4,42907,149.171.126.4,80,31,29,0.000636,0.000501,0,0
59.166.0.3,5263,149.171.126.3,80,31,29,0.00152,0.000492,0,0
59.166.0.5,40326,149.171.126.3,80,31,29,0.000655,0.000527,0,0
